vessel_imo,mmsi,start_date,end_date
9292967,311927000,2012-01-01 18:43:42+00:00,2023-02-16 13:25:27+00:00
9293002,215862000,2014-06-11 19:47:23+00:00,2020-07-31 07:12:17+00:00
9293117,538008767,2019-12-03 21:29:25+00:00,2022-04-21 02:19:52+00:00
9293155,636016967,2015-04-29 03:17:49+00:00,2021-05-21 11:43:54+00:00
9293337,224432000,2012-01-03 17:16:01+00:00,2021-04-20 10:50:28+00:00
9293959,538004072,2012-03-22 15:47:29+00:00,2022-08-26 06:08:59+00:00
9293997,247148600,2012-01-04 17:26:47+00:00,2018-12-12 15:11:35+00:00
9294123,354073000,2015-02-26 08:48:33+00:00,2023-03-16 10:53:31+00:00
9296391,538005574,2014-04-23 18:06:45+00:00,2022-10-05 12:29:48+00:00
9296406,626286000,2023-04-20 15:58:59+00:00,2024-08-31 23:12:24+00:00
9296585,352591000,2022-07-13 13:54:47+00:00,2022-08-29 14:58:24+00:00
9296597,563707000,2012-01-02 15:56:24+00:00,2018-10-05 02:47:02+00:00
9296810,352755000,2012-02-04 21:58:09+00:00,2019-12-11 08:02:06+00:00
9296822,636090864,2012-01-01 00:06:47+00:00,2022-07-22 11:31:30+00:00
9297199,273440780,2021-06-10 18:40:45+00:00,2024-08-31 23:40:22+00:00
9297345,232157000,2012-01-03 16:06:03+00:00,2018-10-18 13:43:15+00:00
9297357,232160000,2012-01-07 19:49:18+00:00,2018-12-21 12:44:21+00:00
9297371,232168000,2012-01-10 08:41:28+00:00,2018-12-11 02:54:54+00:00
9297888,248585000,2017-12-12 13:14:36+00:00,2023-11-30 14:01:24+00:00
9298272,538002085,2012-01-07 09:39:02+00:00,2019-07-30 13:13:01+00:00
9298492,538004294,2012-01-06 03:09:12+00:00,2022-11-30 14:13:40+00:00
9299123,310486000,2012-01-03 08:31:33+00:00,2022-09-19 18:24:08+00:00
9299173,273337270,2021-06-23 09:26:13+00:00,2024-08-31 15:43:12+00:00
9299666,636015348,2012-01-01 02:27:58+00:00,2024-01-12 10:04:55+00:00
9299678,248224000,2017-06-02 08:59:37+00:00,2024-05-24 09:11:27+00:00
9299692,636012382,2012-05-07 15:45:18+00:00,2024-01-14 19:14:47+00:00
9299719,636012384,2012-01-01 19:19:55+00:00,2024-01-17 11:10:30+00:00
9299721,636018293,2017-10-31 02:32:21+00:00,2022-09-16 03:17:37+00:00
9299733,466241000,2012-01-08 12:20:58+00:00,2021-06-23 11:44:42+00:00
9299745,466243000,2012-01-14 18:25:40+00:00,2021-06-22 07:13:54+00:00
9299769,636013054,2012-01-01 12:19:05+00:00,2021-12-15 16:05:03+00:00
9299862,212182000,2012-01-02 21:03:56+00:00,2022-11-30 18:27:28+00:00
9299874,403579000,2012-01-01 05:06:39+00:00,2023-11-10 12:21:45+00:00
9299886,403580000,2012-01-07 10:53:43+00:00,2023-11-16 09:09:38+00:00
9299898,240335000,2012-01-01 00:34:53+00:00,2020-09-20 20:01:28+00:00
9299903,240350000,2012-01-02 13:00:50+00:00,2020-08-14 16:11:33+00:00
9301380,212500000,2015-01-27 03:31:06+00:00,2022-12-07 03:50:28+00:00
9301392,209582000,2012-01-11 17:05:00+00:00,2022-11-28 14:11:47+00:00
9301407,209595000,2012-01-02 12:59:54+00:00,2022-12-02 04:22:40+00:00
9301419,209225000,2012-01-03 06:48:59+00:00,2022-11-19 09:13:11+00:00
9301421,209110000,2012-02-04 00:19:41+00:00,2022-12-01 00:36:51+00:00
9301524,258676000,2012-10-07 09:07:06+00:00,2021-07-16 01:01:39+00:00
9302126,220556000,2012-01-03 06:20:46+00:00,2022-05-05 20:31:27+00:00
9304356,477999500,2012-01-08 03:16:41+00:00,2020-07-24 08:21:36+00:00
9304629,636022591,2022-12-22 15:47:16+00:00,2022-12-22 15:48:35+00:00
9304825,229719000,2014-03-20 10:54:24+00:00,2022-12-26 10:38:32+00:00
9305568,636012813,2012-01-03 17:18:54+00:00,2024-01-12 10:58:35+00:00
9305609,240531000,2012-01-01 00:46:56+00:00,2022-04-22 03:25:28+00:00
9306457,636012577,2012-01-05 14:34:50+00:00,2020-07-07 06:11:40+00:00
9306562,240679000,2012-01-01 05:22:28+00:00,2023-03-29 20:43:57+00:00
9306627,538007766,2017-11-21 11:51:45+00:00,2023-02-15 20:43:50+00:00
9306782,636012853,2012-01-03 22:14:20+00:00,2023-12-31 03:29:14+00:00
9306794,626383000,2024-01-06 08:37:36+00:00,2024-01-06 11:39:51+00:00
9307815,256812000,2012-01-01 19:01:49+00:00,2018-08-01 09:24:01+00:00
9308065,311066100,2012-02-13 02:46:18+00:00,2022-08-08 15:50:55+00:00
9308077,308293000,2012-01-01 09:40:03+00:00,2022-08-22 19:04:12+00:00
9308132,565192000,2012-01-01 08:08:45+00:00,2021-10-21 08:59:34+00:00
9308170,565469000,2012-01-01 00:19:19+00:00,2022-05-18 15:07:08+00:00
9308821,240601000,2012-01-01 00:09:38+00:00,2022-12-12 18:21:12+00:00
9308833,240602000,2012-01-04 11:26:28+00:00,2019-02-22 09:04:46+00:00
9308857,249583000,2016-04-27 08:11:38+00:00,2022-10-27 08:31:54+00:00
9309576,636012464,2012-01-04 13:21:15+00:00,2023-12-26 12:16:49+00:00
9309588,626401000,2024-02-13 08:08:39+00:00,2024-03-01 08:48:42+00:00
9310525,241407000,2015-11-20 16:45:11+00:00,2023-02-10 01:34:22+00:00
9310707,352003746,2024-03-16 09:44:20+00:00,2024-08-31 23:52:05+00:00
9311531,636016694,2014-09-23 00:19:42+00:00,2021-06-08 05:25:13+00:00
