vessel_imo,flag,start_date,end_date
9253325,Liberia,2013-06-01,2023-03-01
9253325,Panama,2023-03-01,
9253595,Malta,2003-01-01,2006-02-01
9253595,Italy,2006-02-01,2013-12-01
9253595,Malta,2013-12-01,2023-05-01
9253595,Panama,2023-05-01,
9253894,Liberia,2002-01-01,2004-02-01
9253894,Germany,2004-02-01,2004-02-01
9253894,Marshall Islands,2004-02-01,2004-02-01
9253894,Germany,2004-02-01,2021-12-01
9253894,Cyprus,2021-12-01,2022-08-01
9253894,Gabon,2022-08-01,2023-06-01
9253894,Liberia,2023-06-01,2024-03-01
9253894,Antigua and Barbuda,2024-03-01,
9253909,Liberia,2002-01-01,2006-05-01
9253909,Germany,2006-05-01,2006-05-01
9253909,Marshall Islands,2006-05-01,2006-05-01
9253909,Germany,2006-05-01,2022-01-01
9253909,Cyprus,2022-01-01,2022-12-01
9253909,Palau (Republic of),2022-12-01,
9254915,Liberia,2004-01-01,2019-07-01
9254915,Panama,2019-07-01,2019-11-01
9254915,Gabon,2019-11-01,2020-02-01
9254915,Malaysia,2020-02-01,2020-12-01
9254915,Panama,2020-12-01,
9255244,Liberia,2003-01-01,2006-06-01
9255244,Panama,2006-06-01,2008-09-01
9255244,United States of America,2008-09-01,2023-06-01
9255244,Panama,2023-06-01,
9255268,Finland,2003-09-01,2015-09-01
9255268,Sweden,2015-09-01,2018-04-01
9255268,Russia,2018-04-01,
9255270,Finland,2004-01-01,2015-09-01
9255270,Sweden,2015-09-01,2021-12-01
9255270,Russia,2021-12-01,
9255660,Malta,2004-01-01,2023-05-01
9255660,Panama,2023-05-01,
9255672,Malta,2004-02-01,2024-04-01
9255672,Cook islands,2024-04-01,
9255830,Singapore,2003-06-01,2005-09-01
9255830,Vietnam,2005-09-01,2022-03-01
9255830,Vietnam,2022-03-01,
9256028,Greece,2003-01-01,2013-07-01
9256028,Cyprus,2013-07-01,2020-07-01
9256028,Marshall Islands,2020-07-01,2022-08-01
9256028,Djibouti,2022-08-01,
9256054,Liberia,2003-08-01,2024-02-01
9256054,Gabon,2024-02-01,2024-04-01
9256054,Russia,2024-04-01,
9256066,Liberia,2003-10-01,2024-01-01
9256066,Russia,2024-01-01,
9256078,Liberia,2003-12-01,2024-01-01
